Tag Code,SRR Name,Mark Site Code Value,Release Site Name,Release Date MMDDYYYY,Obs Date MMDDYYYY,First Obs Date,Last Obs Date,Number of Records
384.1B7976634B,Wild Summer Chinook,SECESR,SECESR - Secesh River,8/23/2012,6/29/2015,6/29/2015,6/29/2015,10
384.36F2B32373,Wild Summer Steelhead,LAPC,LAPC - Lapwai Creek,9/18/2012,9/2/2015,9/2/2015,9/2/2015,21
384.36F2B32565,Wild Summer Steelhead,SWEETC,"SWEETC - Sweetwater Creek, Lapwai Creek watershed",9/12/2012,10/23/2015,10/23/2015,10/24/2015,19
384.36F2B32565,Wild Summer Steelhead,SWEETC,"SWEETC - Sweetwater Creek, Lapwai Creek watershed",9/12/2012,10/24/2015,10/23/2015,10/24/2015,19
384.36F2B442DB,Wild Summer Steelhead,WEBBC,"WEBBC - Webb Creek, Lapwai Creek watershed",9/19/2012,4/19/2015,4/19/2015,4/19/2015,15
384.3B23946E18,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,9/19/2015,9/19/2015,9/19/2015,11
384.3B2394720C,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/19/2013,8/22/2015,8/22/2015,8/22/2015,29
384.3B239472E3,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/21/2013,10/3/2015,10/3/2015,10/3/2015,10
384.3B239472FE,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,9/11/2015,9/11/2015,9/11/2015,12
384.3B2394735F,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/27/2013,9/19/2015,9/19/2015,9/19/2015,12
384.3B239473C6,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,10/4/2015,10/4/2015,10/4/2015,11
384.3B23947468,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/19/2013,10/8/2015,10/8/2015,10/8/2015,14
384.3B239479E3,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/28/2013,9/19/2015,9/19/2015,9/19/2015,13
384.3B23947CB8,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,9/18/2015,9/18/2015,9/18/2015,11
384.3B23948829,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/21/2013,3/30/2015,3/30/2015,3/30/2015,14
384.3B2394899C,Hat. Spring Chinook,SAWT,SAWT - Sawtooth Hatchery,4/4/2014,6/4/2015,6/4/2015,6/4/2015,18
384.3B23948AED,Hat. Spring Chinook,SAWT,SAWT - Sawtooth Hatchery,4/4/2014,6/25/2015,6/25/2015,6/25/2015,12
384.3B2394935F,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,10/5/2015,10/5/2015,10/5/2015,7
384.3B239495AF,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/21/2013,9/24/2015,9/24/2015,9/24/2015,14
384.3B23949832,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/19/2013,9/3/2015,9/3/2015,9/3/2015,9
384.3B23949EB0,Hat. Summer Chinook,YAKIM1,NATCHR - Natches River,5/13/2013,9/16/2015,9/16/2015,9/17/2015,15
384.3B23949EB0,Hat. Summer Chinook,YAKIM1,NATCHR - Natches River,5/13/2013,9/17/2015,9/16/2015,9/17/2015,15
384.3B2394A11D,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/21/2013,4/2/2015,4/2/2015,4/2/2015,11
384.3B2394A29F,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/27/2013,12/9/2015,12/9/2015,12/9/2015,8
384.3B2394A2A7,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/27/2013,9/12/2015,9/12/2015,9/12/2015,18
384.3B2394A2C3,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,9/25/2015,9/25/2015,9/25/2015,13
384.3B2394A2E9,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/21/2013,3/19/2015,3/19/2015,3/20/2015,22
384.3B2394A2E9,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/21/2013,3/20/2015,3/19/2015,3/20/2015,22
384.3B2394A34E,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/28/2013,10/6/2015,10/6/2015,10/6/2015,68
384.3B2394A49E,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/27/2013,9/15/2015,9/15/2015,9/15/2015,11
384.3B2394A517,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,10/3/2015,10/3/2015,10/3/2015,11
384.3B2394A53F,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,9/20/2015,9/20/2015,9/20/2015,10
384.3B2394AFA1,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/27/2013,9/23/2015,9/23/2015,9/23/2015,39
384.3B2394B17C,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,9/27/2015,9/27/2015,9/27/2015,97
384.3B2394BC84,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/27/2013,9/24/2015,9/24/2015,9/24/2015,13
384.3B2394BD56,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/28/2013,3/24/2015,3/24/2015,3/24/2015,24
384.3B2394BF9F,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,9/7/2015,9/7/2015,9/8/2015,12
384.3B2394BF9F,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,9/8/2015,9/7/2015,9/8/2015,12
384.3B2394CB8C,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/27/2013,10/1/2015,10/1/2015,10/1/2015,13
384.3B2394CE2E,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/28/2013,9/25/2015,9/25/2015,9/25/2015,11
384.3B2394CF2D,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,9/18/2015,9/18/2015,9/18/2015,11
384.3B2394D99D,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/27/2013,9/23/2015,9/23/2015,9/23/2015,12
384.3B2394DC46,Hat. Spring Chinook,SAWT,SAWT - Sawtooth Hatchery,4/4/2014,6/24/2015,6/24/2015,6/24/2015,8
384.3B2394DD6A,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/19/2013,9/7/2015,9/7/2015,9/7/2015,12
384.3B2394E5FE,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,11/19/2015,11/19/2015,11/19/2015,11
384.3B2394E65F,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/21/2013,10/1/2015,10/1/2015,10/1/2015,14
384.3B2394E67A,Hat. Summer Steelhead,NISP,SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),3/20/2013,9/15/2015,9/15/2015,9/15/2015,11
384.3B2394E9C4,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/28/2013,9/5/2015,9/5/2015,9/6/2015,12
384.3B2394E9C4,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/28/2013,9/6/2015,9/5/2015,9/6/2015,12
384.3B2394EA0D,Hat. Summer Steelhead,NISP,PAHTRP - Pahsimeroi River Trap,3/27/2013,9/9/2015,9/9/2015,9/9/2015,12
