MRR Site Info Code,MRR Site Info Name,MRR Site Info RKM Mask,MRR Site Type Name,MRR Site Subbasin Code,MRR Site Subbasin Name,MRR Site Latitude Value,MRR Site Longitude Value,MRR Site Name,MRR Site Basin Name
15MILC,"Fifteen Mile Creek, near The Dalles, Oregon",309,River,17070105,Middle Columbia-Hood,45.48169037,-121.075606,"15MILC - Fifteen Mile Creek, near The Dalles, Oregon",Middle Columbia
1890SC,1890s Side Channel Methow Reiver,843.067,River,17020008,Methow,48.37819,-120.133113,1890SC - 1890s Side Channel Methow Reiver,Upper Columbia
18MILC,"Eighteenmile Creek, Lemhi River Basin",522.303.416.092,River,17060204,Lemhi,44.52558537,-113.2368515,"18MILC - Eighteenmile Creek, Lemhi River Basin",Salmon
21MILC,Twentyone Mile Creek - tributary to Sanpoil River,981.065,River,17020004,Sanpoil,48.39833891,-118.6557552,21MILC - Twentyone Mile Creek - tributary to Sanpoil River,Upper Columbia
30MILC,Thirtymile Creek - tributary to Sanpoil River,981.045,River,17020004,Sanpoil,48.2968637,-118.6417662,30MILC - Thirtymile Creek - tributary to Sanpoil River,Upper Columbia
30ML2C,Thirtymile Creek - tributary to John Day River,351.134,River,17070204,Lower John Day,45.16800756,-120.182924,30ML2C - Thirtymile Creek - tributary to John Day River,John Day
3LINKC,Three Links Creek,522.224.120.037.051,River,17060302,Lower Selway,46.17477471,-115.1074761,3LINKC - Three Links Creek,Clearwater
3MILC,Threemile Creek - Upper Columbia,1025,River,17020001,Franklin D. Roosevelt Lake,47.93797314,-118.3719372,3MILC - Threemile Creek - Upper Columbia,Upper Columbia
3MILIS,Three Mile Canyon Island (Col. R. below Blalock Island),412,Avian Colony,17070101,Middle Columbia-Lake Wallula,45.81644278,-119.965329,3MILIS - Three Mile Canyon Island (Col. R. below Blalock Island),Middle Columbia
4JUL2C,Fourth Of July Creek - tributary to Salmon River,522.303.385,River,17060203,Middle Salmon-Panther,45.4098461,-113.8600496,4JUL2C - Fourth Of July Creek - tributary to Salmon River,Salmon
4JULYC,Fourth of July Creek,522.303.630,River,17060201,Upper Salmon,44.04934504,-114.7260511,4JULYC - Fourth of July Creek,Salmon
9MILEC,Ninemile Creek (tributary to Okanogan River),858.134,River,17020006,Okanogan,48.97871132,-119.3544224,9MILEC - Ninemile Creek (tributary to Okanogan River),Upper Columbia
ABEH,Abernathy SCTC,87.005,Hatchery,17080003,Lower Columbia-Clatskanie,46.22634,-123.14889,ABEH - Abernathy SCTC,Lower Columbia
ABERC,"Abernathy Creek, Lower Columbia River, Washington",87,River,17080003,Lower Columbia-Clatskanie,46.25604959,-123.1704555,"ABERC - Abernathy Creek, Lower Columbia River, Washington",Lower Columbia
AENEAC,Aeneas Creek - tributary to Okanogan River,858.086,River,17020006,Okanogan,48.67569555,-119.5486733,AENEAC - Aeneas Creek - tributary to Okanogan River,Upper Columbia
AGNCYC,"Agency Creek, Lemhi River Basin",522.303.416.039,River,17060204,Lemhi,44.95761234,-113.5449087,"AGNCYC - Agency Creek, Lemhi River Basin",Salmon
AHSH,Astoria High School Hatchery,*,Hatchery,17080006,Lower Columbia,46.17622,-123.84848,AHSH - Astoria High School Hatchery,Lower Columbia
AHTANC,"Ahtanum Creek, Yakima River",539.172,River,17030003,Lower Yakima,46.53510706,-120.6390689,"AHTANC - Ahtanum Creek, Yakima River",Yakima
ALEXC,"Alex Creek, Secesh River",522.303.215.059.033,River,17060208,South Fork Salmon,45.19694468,-115.7845918,"ALEXC - Alex Creek, Secesh River",Salmon
ALMOTC,Almota Creek - tributary to Snake River,522.164,River,17060107,Lower Snake-Tucannon,46.70160586,-117.3593478,ALMOTC - Almota Creek - tributary to Snake River,Lower Snake
ALPOWC,"Alpowa Creek, lower Snake River",522.205,River,17060107,Lower Snake-Tucannon,46.40235438,-117.3982657,"ALPOWC - Alpowa Creek, lower Snake River",Lower Snake
ALTULC,Alturas Lake Creek,522.303.633,River,17060201,Upper Salmon,43.91135317,-114.8616833,ALTULC - Alturas Lake Creek,Salmon
ALTURL,Alturas Lake,522.303.633.011,Other,17060201,Upper Salmon,43.91370757,-114.8610082,ALTURL - Alturas Lake,Salmon
AMERR,American River,522.224.120.101,River,17060305,South Fork Clearwater,45.87371621,-115.4414638,AMERR - American River,Clearwater
ANTELC,Antelope Creek - tributary to Trout Creek (TROU2C) in the Deschutes River basin,328.140.021,River,17070307,Trout,44.87839269,-120.7786494,ANTELC - Antelope Creek - tributary to Trout Creek (TROU2C) in the Deschutes River basin,Deschutes
ANTOIC,Antoine Creek (tributary to Okanogan River),858.099,River,17020006,Okanogan,48.81550737,-119.285285,ANTOIC - Antoine Creek (tributary to Okanogan River),Upper Columbia
APROOK,Appleyard Rookery,746,Avian Colony,17020010,Upper Columbia-Entiat,47.389293,-120.284408,APROOK - Appleyard Rookery,Upper Columbia
ASOTIC,"Asotin Creek, Snake River above Clarkston, WA",522.234,River,17060103,Lower Snake-Asotin,46.33064281,-117.1819526,"ASOTIC - Asotin Creek, Snake River above Clarkston, WA",Lower Snake
ASOTNF,North Fork Asotin Creek,522.234.024,River,17060103,Lower Snake-Asotin,46.20246303,-117.4166627,ASOTNF - North Fork Asotin Creek,Lower Snake
ASOTSF,South Fork Asotin Creek,522.234.024,River,17060103,Lower Snake-Asotin,46.18888668,-117.3261418,ASOTSF - South Fork Asotin Creek,Lower Snake
BAD,Barrier Dam,111.08,Dam,17080005,Lower Cowlitz,46.51250891,-122.6332309,BAD - Barrier Dam,Lower Columbia
BADGEI,"Badger Island, Columbia River",512,Avian Colony,17070101,Middle Columbia-Lake Wallula,46.1093921,-118.9378529,"BADGEI - Badger Island, Columbia River",Middle Columbia
BAKEOC,"Bakeoven Creek, Deschutes River Basin",328.083,River,17070306,Lower Deschutes,45.12770042,-120.9364813,"BAKEOC - Bakeoven Creek, Deschutes River Basin",Deschutes
BANKSL,"Banks Lake, Grant County, Washington",___,Other,17020014,Banks Lake,47.80585681,-119.191883,"BANKSL - Banks Lake, Grant County, Washington",Upper Columbia
BARGAC,Bargamin Creek,522.303.255,River,17060207,Middle Salmon-Chamberlain,45.68919708,-115.0634045,BARGAC - Bargamin Creek,Salmon
BARNAC,Barnaby Creek - tributary to Columbia River,1101,River,17020001,Franklin D. Roosevelt Lake,48.484617,-118.2973386,BARNAC - Barnaby Creek - tributary to Columbia River,Upper Columbia
BASINC,"Basin Creek, Lemhi River Basin",522.303.416.049.006,River,17060204,Lemhi,44.84109146,-113.7594541,"BASINC - Basin Creek, Lemhi River Basin",Salmon
BASN2C,"Basin Creek, upper Lemhi River Basin",522.303.416.089.012,River,17060204,Lemhi,44.59026245,-113.4279103,"BASN2C - Basin Creek, upper Lemhi River Basin",Salmon
BASN3C,"Basin Creek, Salmon River Basin",522.303.604,River,17060201,Upper Salmon,44.31614791,-114.8833517,"BASN3C - Basin Creek, Salmon River Basin",Salmon
BBC,Big Beef Creek,*,Hatchery,17110018,Hood Canal,47.652262,-122.783535,BBC - Big Beef Creek,Puget Sound
BCANF,Big Canyon Facility,522.271.131.018.001,Acclimation Pond,17060105,Wallowa,45.6190397,-117.6986332,BCANF - Big Canyon Facility,Lower Snake
BCCAP,Big Canyon Creek Acclimation Facility (Clearwater River),522.224.057,Acclimation Pond,17060306,Clearwater,46.49829,-116.43829,BCCAP - Big Canyon Creek Acclimation Facility (Clearwater River),Clearwater
BCHINL,Lake Billy Chinook,328.177,Other,17070301,Upper Deschutes,44.583737,-121.321127,BCHINL - Lake Billy Chinook,Deschutes
BCKHRC,"Buckhorn Creek, SF Salmon River",522.303.215.072,River,17060208,South Fork Salmon,44.89702401,-115.8145751,"BCKHRC - Buckhorn Creek, SF Salmon River",Salmon
BCKROC,"Buckaroo Creek, Umatilla River",465.117,River,17070103,Umatilla,45.64654885,-118.4954079,"BCKROC - Buckaroo Creek, Umatilla River",Middle Columbia
BCL,Big Cliff Dam - North Santiam River,163.174.019.073,Dam,17090005,North Santiam,44.75071763,-122.2831042,BCL - Big Cliff Dam - North Santiam River,Willamette
BCLFBY,BCL - Release into the Forebay within 0.5 km upstream of Dam,163.174.019.073,Intra-Dam Release Site,17090005,North Santiam,44.75071763,-122.2831042,BCLFBY - BCL - Release into the Forebay within 0.5 km upstream of Dam,Willamette
BCLTAL,BCL - Release into the Tailrace within 0.5 km downstream of Dam,163.174.019.073,Intra-Dam Release Site,17090005,North Santiam,44.75071763,-122.2831042,BCLTAL - BCL - Release into the Tailrace within 0.5 km downstream of Dam,Willamette
BCTRAP,"Lake Washington, Bear Creek Trap",***,Trap or Weir,17110012,Lake Washington,47.66950083,-122.1102037,"BCTRAP - Lake Washington, Bear Creek Trap",Puget Sound
BEAR2C,"Bear Creek, John Day River Basin",351.218.009,River,17070204,Lower John Day,44.58180633,-120.3815602,"BEAR2C - Bear Creek, John Day River Basin",John Day
BEAR3C,"Bear Creek, Columbia River Estuary, Oregon",33,River,17080006,Lower Columbia,46.12754579,-123.6381107,"BEAR3C - Bear Creek, Columbia River Estuary, Oregon",Lower Columbia
BEAR4C,"Bear Creek, SF Salmon River",522.303.215.120,River,17060208,South Fork Salmon,44.61973664,-115.6442877,"BEAR4C - Bear Creek, SF Salmon River",Salmon
BEARC,Bear Creek,522.224.120.037.081,River,17060301,Upper Selway,46.09148594,-114.6784475,BEARC - Bear Creek,Clearwater
BEARVC,Bear Valley Creek,522.303.319.170,River,17060205,Upper Middle Fork Salmon,44.37421072,-115.3961166,BEARVC - Bear Valley Creek,Salmon
BEAV2C,"Beaver Creek, Methow River",843.057,River,17020008,Methow,48.43509496,-120.0223006,"BEAV2C - Beaver Creek, Methow River",Upper Columbia
BEAV3C,"Beaver Creek, Wenatchee River Basin",754.075,River,17020011,Wenatchee,47.77924202,-120.6005878,"BEAV3C - Beaver Creek, Wenatchee River Basin",Upper Columbia
BEAV3P,"Beaver Creek Acclimation Pond, Wenatchee River Basin",754.075.001,Acclimation Pond,17020011,Wenatchee,47.76822394,-120.6482218,"BEAV3P - Beaver Creek Acclimation Pond, Wenatchee River Basin",Upper Columbia
BEAV4C,"Beaver Creek, Big Creek watershed, MF Salmon River",522.303.319.029.049,River,17060206,Lower Middle Fork Salmon,45.22553999,-115.2995726,"BEAV4C - Beaver Creek, Big Creek watershed, MF Salmon River",Salmon
BEAVEC,Beaver Creek,522.303.642,River,17060201,Upper Salmon,43.88419418,-114.8599621,BEAVEC - Beaver Creek,Salmon
BEDRKC,Bedrock Creek,522.224.042,River,17060306,Clearwater,46.56613854,-116.5334348,BEDRKC - Bedrock Creek,Clearwater
BEECEF,"East Fork Beech Creek, upper John Day River",351.378.018,River,17070201,Upper John Day,44.51415794,-118.929247,"BEECEF - East Fork Beech Creek, upper John Day River",John Day
BEECHC,Beech Creek - tributary to John Day River,351.378,River,17070201,Upper John Day,44.49963835,-119.0335008,BEECHC - Beech Creek - tributary to John Day River,John Day
BGM,"Burlingame Diversion Dam, Walla Walla River",509.059,Dam,17070102,Walla Walla,46.02330428,-118.4244336,"BGM - Burlingame Diversion Dam, Walla Walla River",Middle Columbia
BGMTAL,BGM - Release into the Tailrace within 0.5 km downstream of Dam,509.059,Intra-Dam Release Site,17070102,Walla Walla,46.02330428,-118.4244336,BGMTAL - BGM - Release into the Tailrace within 0.5 km downstream of Dam,Middle Columbia
BIDDLP,"Biddle Acclimation Pond on Wolf Creek, Methow River Basin",843.085.002,Acclimation Pond,17020008,Methow,48.48881958,-120.2479367,"BIDDLP - Biddle Acclimation Pond on Wolf Creek, Methow River Basin",Upper Columbia
BIG1C,"Big Creek, lower Columbia River near Knappa, OR",43,River,17080006,Lower Columbia,46.11118647,-123.5295385,"BIG1C - Big Creek, lower Columbia River near Knappa, OR",Lower Columbia
